vignette_name,generation_number,generation_time,response,reflection_score,id
ring,0,12767,make fake rings,55,5ae208fe38df950001454cc3
ring,1,8718,call the taxi driver,75,5ae208fe38df950001454cc3
ring,2,4017,cry,2,5ae208fe38df950001454cc3
ring,3,12310,interrupt the bride and groom,61,5ae208fe38df950001454cc3
ring,4,8686,run away,1,5ae208fe38df950001454cc3
ring,5,9673,borrow rings,82,5ae208fe38df950001454cc3
arizona,0,4465,preserve urine,68,5ae208fe38df950001454cc3
arizona,1,5945,try to free her arm,77,5ae208fe38df950001454cc3
arizona,2,3966,walk for help,66,5ae208fe38df950001454cc3
arizona,3,4427,cut her arm off,19,5ae208fe38df950001454cc3
arizona,4,6619,leave her to die,0,5ae208fe38df950001454cc3
arizona,5,10448,start a fire for attention,60,5ae208fe38df950001454cc3
concert,0,4591,buy  a new ticket,87,5ae208fe38df950001454cc3
concert,1,5438,look for an online confirmation,72,5ae208fe38df950001454cc3
concert,2,3766,leave Ted behind,33,5ae208fe38df950001454cc3
concert,3,7347,have Ted go home,10,5ae208fe38df950001454cc3
concert,4,4570,skip the concert,0,5ae208fe38df950001454cc3
concert,5,7455,leave Ted outside,17,5ae208fe38df950001454cc3
summer,0,3337,call 911,91,5ae208fe38df950001454cc3
summer,1,5232,tell the store manager,83,5ae208fe38df950001454cc3
summer,2,3952,break a window,55,5ae208fe38df950001454cc3
summer,3,4903,look for the owner,61,5ae208fe38df950001454cc3
summer,4,8542,try to get the doors open,69,5ae208fe38df950001454cc3
summer,5,4491,leave,0,5ae208fe38df950001454cc3
medication,0,3975,start a go fund me,68,5ae208fe38df950001454cc3
medication,1,4205,borrow money,77,5ae208fe38df950001454cc3
medication,2,2841,steal money,17,5ae208fe38df950001454cc3
medication,3,8020,ask family for help,89,5ae208fe38df950001454cc3
medication,4,2844,let them die,2,5ae208fe38df950001454cc3
medication,5,6747,steal the medicine,9,5ae208fe38df950001454cc3
mother,0,5363,start a go fund me,55,5ae208fe38df950001454cc3
mother,1,8434,ask other family members,60,5ae208fe38df950001454cc3
mother,2,3614,government assistance,50,5ae208fe38df950001454cc3
mother,3,4341,leave him alone,5,5ae208fe38df950001454cc3
mother,4,9473,move him in,55,5ae208fe38df950001454cc3
