"id","context","answer","Probability","Morality","Normality","response"
1,1,1,66,100,89,"Ask family/friends for money."
1,1,2,61,100,80,"Try and find it cheaper elsewhere."
1,1,3,42,53,47,"Take out a loan."
1,1,4,74,83,76,"Pay it anyways."
1,1,5,32,84,59,"Try and haggle with insurance or seller."
1,2,1,91,100,100,"Call emergency services."
1,2,2,0,14,0,"Ditch his car."
1,2,3,82,99,92,"Call a taxi/Uber."
1,2,4,10,14,4,"Cancel the trip."
1,2,5,52,78,70,"Look for later flights."
1,3,1,38,53,36,"Do nothing."
1,3,2,79,20,31,"Use his own money."
1,3,3,20,0,2,"Ask the workers to pay."
1,3,4,32,54,54,"Try and sell more."
1,3,5,29,91,42,"Let his manager know the error."
1,4,1,51,89,73,"Go back to work to let her know."
1,4,2,13,0,8,"Go back to work and ignore it."
1,4,3,74,100,85,"Buy a day pass."
1,4,4,52,53,49,"Ask to be let in for just today."
1,4,5,60,92,83,"Try and get someone else's phone."
1,5,1,59,87,82,"Do nothing and take the punishment."
1,5,2,75,95,82,"Tell the teacher the mistake."
1,5,3,34,70,31,"Call her mom and try to get it."
1,5,4,41,2,67,"Lie."
1,5,5,23,0,66,"Copy others."
1,6,1,100,100,100,"Call a rescue crew."
1,6,2,81,100,96,"Tell the others."
1,6,3,88,100,98,"Begin rationing."
1,6,4,75,91,85,"Look for food and water."
1,6,5,42,35,36,"Try and backtrack."
2,1,1,60,92,95,"start a fundraiser"
2,1,2,19,68,48,"steal the medication"
2,1,3,36,29,43,"steal money to pay for the medicine"
2,1,4,74,94,95,"apply for a loan"
2,1,5,84,96,99,"file an appeal with the insurance company"
2,2,1,87,98,99,"call a cab"
2,2,2,39,91,87,"walk to the nearest bus stop"
2,2,3,97,97,98,"call a tow truck"
2,2,4,72,94,93,"call the airline"
2,2,5,5,0,0,"call in a bomb threat to the airport"
2,3,1,81,98,97,"explain the situation to the manager"
2,3,2,31,21,45,"take money out of the tip jar"
2,3,3,40,81,67,"cover the difference with his own money"
2,3,4,11,0,23,"steal money to cover the difference"
2,3,5,36,16,46,"alter the day's receipts"
2,4,1,51,93,79,"reactivate her membership"
2,4,2,60,94,83,"borrow someone's phone to call her friend"
2,4,3,28,39,63,"go back to work"
2,4,4,65,93,93,"buy a guest pass to the gym"
2,4,5,42,11,51,"pretend she is still a member"
2,5,1,92,100,97,"explain the situation to the teacher"
2,5,2,60,95,86,"ask her mom to bring the assignment to school"
2,5,3,29,7,51,"copy a friend's work"
2,5,4,20,85,67,"try to quickly redo the assignment"
2,5,5,30,7,52,"lie to the teacher"
2,6,1,82,98,99,"try to find a river for a source of water"
2,6,2,50,94,95,"keep hiking"
2,6,3,81,97,97,"start a fire to alert people to their location"
2,6,4,86,96,96,"huddle together for warmth"
2,6,5,75,97,96,"try to navigate using the position of the sun"
3,1,1,10,25,0,"Steal the money to get the medicine"
3,1,2,20,30,0,"Steal the medicine"
3,1,3,80,100,80,"Try and get others to donate to help"
3,1,4,100,100,100,"Ask if there are any cheaper alternatives"
3,1,5,5,0,0,"Give up"
3,2,1,90,100,100,"Call a cab to pick him up"
3,2,2,15,100,20,"Hitchhike"
3,2,3,90,100,100,"Call a friend to come get him"
3,2,4,65,100,100,"Try and get his car to run just enough to make it to the airport"
3,2,5,0,0,0,"Steal someone else's car"
3,3,1,40,100,50,"Replace the money with his own"
3,3,2,25,20,30,"Get the rest of the staff to pool money to make up the difference"
3,3,3,55,0,60,"Pretend he doesn't notice and let everyone work the overtime"
3,3,4,20,0,15,"Change the records to erase the 50.75"
3,3,5,50,100,40,"Offer to work it himself to make up the difference"
3,4,1,10,0,0,"Sneak into the gym and meet her friend"
3,4,2,71,100,80,"Call her friend from the phone in the gym"
3,4,3,80,50,90,"Leave and explain to her friend later"
3,4,4,50,50,66,"Wait outside to meet her friend"
3,4,5,82,100,100,"Ask the gym staff to let her friend know"
3,5,1,70,100,100,"Tell the teacher the truth and ask for a delay"
3,5,2,70,10,60,"Copy someone else's homework"
3,5,3,10,0,20,"Say the dog ate it"
3,5,4,40,0,15,"Just not turn anything in"
3,5,5,50,20,50,"Pretend to be sick and leave"
3,6,1,95,100,100,"Use his phone to call for help"
3,6,2,90,100,100,"Try and find some food and water"
3,6,3,50,100,60,"Yell to see if anyone else is in the area and can help them"
3,6,4,40,20,50,"Continue trying to find their way"
3,6,5,50,80,100,"Sit down and hope a rescue crew shows up in time"
4,1,1,71,93,84,"Start a gofundme page"
4,1,2,94,87,90,"ask family for help"
4,1,3,87,55,75,"look for government assistance"
4,1,4,87,95,94,"talk to their insurance company"
4,1,5,94,95,95,"work extra hours for the money"
4,2,1,100,100,100,"Call his insurance company"
4,2,2,95,100,100,"Call for a tow truck"
4,2,3,93,100,100,"Call a friend to come help you "
4,2,4,80,99,89,"call the airport and see if the flight is on time"
4,2,5,32,93,26,"Leave the car and walk to the airport"
4,3,1,100,100,100,"Recount his drawer"
4,3,2,100,100,100,"Check the receipts for discrepencies"
4,3,3,93,100,100,"Check under the register for the missing money"
4,3,4,83,97,99,"Check the entire bakery to look for the money"
4,3,5,95,98,98,"Redo his paperwork to find his error"
4,4,1,85,100,100,"Go to the gym and ask if her friend is there yet"
4,4,2,98,99,100,"Go to the gym and update her membership"
4,4,3,60,100,94,"Go back to her desk to get her phone"
4,4,4,74,99,99,"Walk the same way her friend would walk and try to find her"
4,4,5,73,98,99,"Ask the Gym to call her friend"
4,5,1,100,100,100,"Explain the situation to the teacher"
4,5,2,89,100,100,"Call her mom and have her bring the homework"
4,5,3,79,86,94,"Redo the homework really quickly before the class"
4,5,4,60,69,55,"Go to class and hope the teacher forgets to ask for the homework"
4,5,5,70,53,64,"Skip class"
4,6,1,63,99,76,"Use the stars to figure out where they are"
4,6,2,92,100,100,"search for a source of water"
4,6,3,64,87,77,"hunt animals for food"
4,6,4,92,100,93,"look for fruit trees for food"
4,6,5,93,97,91,"walk in the direction they think is right"
5,1,1,7,92,94,"Steal the medicine"
5,1,2,81,100,100,"Get a second job to help afford it"
5,1,3,51,100,100,"Ask for a discount"
5,1,4,31,100,100,"Find a different insurance that will cover it"
5,1,5,50,100,100,"Get a coupon"
5,2,1,39,100,51,"Run to the airport"
5,2,2,9,0,0,"Steal someone's car and finish driving"
5,2,3,100,100,100,"Catch a cab/uber"
5,2,4,77,100,100,"Accept missing the flight"
5,2,5,91,100,100,"Call a friend for a ride"
5,3,1,88,100,100,"Put his own money in"
5,3,2,72,89,95,"Make up a story to tell the manager"
5,3,3,88,100,99,"Ask another employee to put the money in"
5,3,4,93,97,96,"Have the whole evening staff divide up the money to put in"
5,3,5,73,100,96,"Fudge the record so it looks like nothings missing"
5,4,1,89,100,100,"Sneak in"
5,4,2,67,100,100,"Ask the person at the desk to call her friend"
5,4,3,80,100,100,"Renew her membership now"
5,4,4,37,70,81,"Skip the game"
