,vignette_name,generation_number,response,reflection_score,id
0,1,1,Ask family/friends for money.,0.85,1
1,1,2,Try and find it cheaper elsewhere.,0.8033333333333333,1
2,1,3,Take out a loan.,0.47333333333333333,1
3,1,4,Pay it anyways.,0.7766666666666666,1
4,1,5,Try and haggle with insurance or seller.,0.5833333333333334,1
5,2,1,Call emergency services.,0.97,1
6,2,2,Ditch his car.,0.04666666666666667,1
7,2,3,Call a taxi/Uber.,0.91,1
8,2,4,Cancel the trip.,0.09333333333333334,1
9,2,5,Look for later flights.,0.6666666666666666,1
10,3,1,Do nothing.,0.42333333333333334,1
11,3,2,Use his own money.,0.43333333333333335,1
12,3,3,Ask the workers to pay.,0.07333333333333333,1
13,3,4,Try and sell more.,0.4666666666666667,1
14,3,5,Let his manager know the error.,0.54,1
15,4,1,Go back to work to let her know.,0.71,1
16,4,2,Go back to work and ignore it.,0.07,1
17,4,3,Buy a day pass.,0.8633333333333333,1
18,4,4,Ask to be let in for just today.,0.5133333333333333,1
19,4,5,Try and get someone else's phone.,0.7833333333333333,1
20,5,1,Do nothing and take the punishment.,0.76,1
21,5,2,Tell the teacher the mistake.,0.84,1
22,5,3,Call her mom and try to get it.,0.45,1
23,5,4,Lie.,0.36666666666666664,1
24,5,5,Copy others.,0.2966666666666667,1
25,6,1,Call a rescue crew.,1.0,1
26,6,2,Tell the others.,0.9233333333333333,1
27,6,3,Begin rationing.,0.9533333333333334,1
28,6,4,Look for food and water.,0.8366666666666667,1
29,6,5,Try and backtrack.,0.37666666666666665,1
30,1,1,start a fundraiser,0.8233333333333334,2
31,1,2,steal the medication,0.45,2
32,1,3,steal money to pay for the medicine,0.36,2
33,1,4,apply for a loan,0.8766666666666667,2
34,1,5,file an appeal with the insurance company,0.93,2
35,2,1,call a cab,0.9466666666666667,2
36,2,2,walk to the nearest bus stop,0.7233333333333334,2
37,2,3,call a tow truck,0.9733333333333334,2
38,2,4,call the airline,0.8633333333333333,2
39,2,5,call in a bomb threat to the airport,0.016666666666666666,2
40,3,1,explain the situation to the manager,0.92,2
41,3,2,take money out of the tip jar,0.3233333333333333,2
42,3,3,cover the difference with his own money,0.6266666666666667,2
43,3,4,steal money to cover the difference,0.11333333333333333,2
44,3,5,alter the day's receipts,0.32666666666666666,2
45,4,1,reactivate her membership,0.7433333333333333,2
46,4,2,borrow someone's phone to call her friend,0.79,2
